"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-02-28","30","39","21"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-01","21","39","3"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-02","7","16","-3"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-03","20","33","8"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-04","13","22","3"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-05","10","17","3"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-06","17","24","10"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-07","17","26","7"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-08","19","29","9"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-09","28","36","20"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-10","30","46","14"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-11","41","47","35"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-12","36","46","27"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-13","27","33","21"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-14","16","26","6"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-15","9","20","-1"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-16","20","31","10"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-17","32","43","21"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-18","28","45","12"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-19","20","32","8"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-20","33","44","22"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-21","39","52","26"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-22","43","59","27"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-23","45","60","31"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-24","39","47","31"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-25","47","59","35"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-26","42","50","33"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-27","32","33","31"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-28","36","40","31"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-29","31","39","23"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-30","38","55","21"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-03-31","47","62","32"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-01","33","43","24"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-02","27","35","18"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-03","30","43","17"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-04","32","40","23"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-05","34","41","28"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-06","41","49","34"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-07","43","54","32"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-08","44","56","31"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-09","46","60","33"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-10","45","55","34"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-11","44","53","35"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-12","49","55","43"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-13","43","54","31"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-14","45","59","30"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-15","47","65","30"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-16","44","49","39"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-17","41","45","37"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-18","41","48","33"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-19","47","62","32"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-20","44","52","36"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-21","35","41","29"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-22","33","38","28"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-23","46","58","35"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-24","50","69","31"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-25","50","58","41"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-26","38","47","30"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-27","49","65","32"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-28","51","63","37"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-29","52","63","42"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-04-30","47","56","39"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-01","48","56","40"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-02","47","61","32"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-03","43","56","29"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-04","48","55","41"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-05","49","53","45"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-06","45","56","33"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-07","43","56","29"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-08","41","49","33"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-09","50","66","35"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-10","53","62","44"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-11","44","50","37"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-12","45","56","34"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-13","54","69","40"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-14","55","65","44"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-15","55","71","39"
